title,ingredients_raw,instructions,image_name,base_servings,prep_time,cook_time,taste_profile,texture_profile,memory_description,similar_dishes,substitution_options,retrieval_text
Our Favorite Creamy Mashed Potatoes,"4 pounds Yukon Gold potatoes, peeled, cut into 2"" pieces; 6 large garlic cloves, peeled; 1 tablespoon plus 2 teaspoons kosher salt, divided, plus more; 1 1/4 cups whole milk; 4 thyme sprigs; 3/4 cup (1 1/2 sticks) plus 2 tablespoons unsalted butter, divided; 3/4 teaspoon freshly ground black pepper, plus more; 1/2 cup sour cream; A potato ricer or food mill","Cover potatoes, garlic, and 1 Tbsp. salt with cold water in a large pot. Bring to a low boil, then reduce heat and simmer (do not boil) until potatoes are very tender when pierced with the tip of a paring knife but not falling apart, 20-25 minutes. Meanwhile, heat milk, thyme, and 3/4 cup butter in a small pot over medium, stirring, until butter is melted. Remove from heat; set aside. Drain potatoes and garlic; return to pot. Toss over low heat until moisture evaporates, 1-2 minutes. Using potato ricer or food mill, immediately press potatoes and garlic into a large bowl (do not let cool). Discard thyme from milk mixture and gradually stir into potatoes, reserving about 1/2 cup if you plan to make in advance (see Do Ahead). Season with 2 tsp. salt and 3/4 tsp. pepper. Fold in sour cream and stir with a spoon until incorporated and very smooth (do not overmix or potatoes will become gummy). Taste and adjust seasonings. Serve topped with remaining 2 Tbsp. butter and more pepper. Mashed potatoes can be made 2 hours ahead; cover and store at room temperature. Or chill, covered, up to 8 hours; reheat over medium with reserved 1/2 cup milk mixture.",our-favorite-creamy-mashed-potatoes,4,20.0,25.0,"creamy, buttery, garlicky","smooth, fluffy, rich",These are the mashed potatoes I dream about – perfect every time.,"Garlic Mashed Potatoes, Sour Cream Mashed Potatoes, Pomme Purée",Yukon Gold: russet; milk: almond milk; sour cream: Greek yogurt,"Title: Our Favorite Creamy Mashed Potatoes. Taste: creamy, buttery, garlicky. Texture: smooth, fluffy, rich. Memory: These are the mashed potatoes I dream about – perfect every time.. Similar dishes: Garlic Mashed Potatoes, Sour Cream Mashed Potatoes, Pomme Purée"
Remember the Alimony,"¾ oz (22 ml) London Dry gin; 1½ oz (45 ml) Cynar; 1½ oz (45 ml) Fino sherry; Orange twist, to garnish",Combine all the ingredients in a chilled rocks glass. Add one large ice cube and stir for 10 seconds. Garnish with an orange twist.,remember-the-alimony-cocktail,4,2.0,0.0,"bitter, herbal, nutty","smooth, silky",This cocktail is as sophisticated as it is complex – a true sipper.,"Negroni, Boulevardier, Old Pal",gin: vodka; Cynar: Amaro; sherry: dry vermouth,"Title: Remember the Alimony. Taste: bitter, herbal, nutty. Texture: smooth, silky. Memory: This cocktail is as sophisticated as it is complex – a true sipper.. Similar dishes: Negroni, Boulevardier, Old Pal"
Creole Cream Cheesecake With Caramel-Apple Topping,"2 cups graham cracker crumbs (about 16 whole crackers); 3 tablespoons granulated sugar; 3 tablespoons firmly packed light brown sugar; 1⁄4 teaspoon kosher salt; 1⁄2 cup unsalted butter, melted; 2 pounds cream cheese, at room temperature; 1 cup granulated sugar; 1⅓ cups Creole Cream Cheese; 1 teaspoon vanilla bean paste; 2 eggs, at room temperature; Ingredient Info: You can substitute 1 cup sour cream mixed with 1⁄4 cup buttermilk for the 1⅓ cups Creole Cream Cheese.; 3¾ tablespoons unsalted butter; 3⁄4 cup granulated sugar; 1⁄4 cup firmly packed light brown sugar; 1½ tablespoons honey; 4 cups peeled, cored, and evenly chopped Granny Smith apples (about 7); 1½ teaspoons finely grated lemon zest; 1 tablespoon fresh lemon juice; 3⁄4 teaspoon kosher salt; 3⁄4 teaspoon ground cinnamon; 1⁄3 teaspoon ground cardamom; 1⁄3 teaspoon ground ginger; 1 teaspoon vanilla extract","Make the crust. Preheat the oven to 375°F. In a medium bowl, stir together the graham cracker crumbs, granulated sugar, brown sugar, salt, and butter to combine. Pat the mixture into a 10-inch springform pan, pressing the crumbs firmly in an even layer on the bottom and making sure they come at least halfway up the side of the pan. Bake for 7 to 10 minutes, until the crust is fragrant, dry, and toasty. Let cool, then wrap the entire outside of the pan tightly in two layers of foil, all the way to the top. In the bowl of a stand mixer fitted with the paddle attachment or in a large bowl using a handheld mixer, cream the plain cream cheese and sugar on medium-high speed for about 4 minutes, until incredibly smooth and light. Stop the mixer and scrape down the bottom and sides of the bowl with a rubber spatula. Add the Creole Cream Cheese and vanilla paste and beat on medium-high speed for about 2 minutes, scraping down the bowl once more. Decrease the speed to medium and beat in the eggs, one at a time, incorporating each one before adding the next. Mix just until the batter is smooth and uniform. Continuing to mix past that point, even though the batter won-t look different, only incorporates extra air, which will cause the cheesecake to bubble excessively and the surface to crack as that air tries to escape during the baking process. Decrease the oven temperature to 350°F. Pour the batter into the prepared crust and tap the pan gently on the counter a few times to remove any large air bubbles. Place the springform pan in a large baking or roasting pan (just big enough for the springform pan to fit in) and set the pan on the middle rack in the oven. Fill the pan with enough hot water to reach the rim of the springform pan. Bake for about 1 hour, or until the sides of the custard are set and the middle is still just slightly wobbly. Generally, if the entirety of the custard is fully set, your cheesecake is overbaked. Don-t panic-it-ll still be delicious, and you-ll do better next time! Let the cheesecake cool in the water until it is about room temperature. (You don-t want to have to try to grab the pan out of hot water if you can help it.) However, if you-re worried that your cheesecake might be slightly overbaked, you-ll want to pull it out rather quickly, and let it cool at room temperature. Refrigerate for at least 3 hours before slicing. The cake can be refrigerated, covered, for up to 4 days. In a large heavy-bottomed saut pan, heat the butter until melted. Stir in the granulated sugar, brown sugar, and honey and let cook until bubbling. Add the apples and toss to coat. Stir in the lemon zest, lemon juice, salt, cinnamon, cardamom, and ginger; stir to combine. Cook for about 4 minutes, or until the apples just start to soften. Remove from the heat, stir in the vanilla, and transfer to a bowl to cool completely before use. The filling can be made up to 3 days ahead of time and stored in an airtight container in the refrigerator.",creole-cream-cheesecake-with-caramel-apple-topping,4,30.0,80.0,"sweet, tangy, spiced","creamy, dense, crunchy topping",This cheesecake is a love letter to New Orleans – rich and unforgettable.,"New York Cheesecake, Apple Cheesecake, Caramel Cheesecake",cream cheese: mascarpone; graham crackers: digestive biscuits,"Title: Creole Cream Cheesecake With Caramel-Apple Topping. Taste: sweet, tangy, spiced. Texture: creamy, dense, crunchy topping. Memory: This cheesecake is a love letter to New Orleans – rich and unforgettable.. Similar dishes: New York Cheesecake, Apple Cheesecake, Caramel Cheesecake"
Creole Cream Cheese,2 quarts skim milk; 1⁄4 cup buttermilk; 1 rennet tablet,"In a large heavy-bottomed saucepot over medium heat with a kitchen thermometer attached to the rim, warm the milk and buttermilk to 85°F. Add one-quarter of the rennet tablet and transfer the mixture to a plastic container or bowl. Cover with plastic wrap and then poke a few holes in the plastic to allow the steam to escape. Let stand at room temperature in a cool spot in your house for 48 hours. Use a slotted spoon to transfer the solids to a double layer of cheesecloth set over a bowl and discard the liquid. Wrap the solids in the cheesecloth and hang it over the bowl (to catch the whey) in the refrigerator for 24 hours. Discard the whey. Pack the cheese into an airtight plastic container and store in the refrigerator for up to 1 week.",creole-cream-cheese,4,20.0,2880.0,"tangy, milky","soft, spreadable",This homemade cheese is a taste of Louisiana tradition.,"Fromage Blanc, Quark, Cottage Cheese",milk: goat milk; buttermilk: yogurt,"Title: Creole Cream Cheese. Taste: tangy, milky. Texture: soft, spreadable. Memory: This homemade cheese is a taste of Louisiana tradition.. Similar dishes: Fromage Blanc, Quark, Cottage Cheese"
Buss Up Shut (Paratha Roti),"2¼ tsp. nonfat dry milk powder; 2 tsp. baking powder; 2 tsp. granulated sugar or light brown sugar; 2 cups (240 g) all-purpose flour, plus more for dusting; 1 Tbsp. vegetable oil, plus more; 2 Tbsp. vegetable shortening, room temperature; 1 Tbsp. ghee, unsalted butter, or vegan butter, room temperature","Whisk milk powder, baking powder, granulated sugar, and 2 cups (240 g) flour in a large shallow bowl. Add about a fourth of cup warm water (110°) and mix in a wide circular motion with your fingers to gently combine (do not knead). As mixture becomes dry, add more of the water, little by little, and keep mixing gently until a shaggy dough forms; it should be soft and sticky, without dry spots. (Depending on the humidity, you may not need all of the water.) Drizzle 1 Tbsp. oil over dough and gently press with your knuckles so that the top of dough is covered with oil. Cover bowl with a damp kitchen towel or plastic wrap and let rest in a warm spot 15 minutes. Meanwhile, mix shortening and ghee in a small bowl until smooth. Turn out dough onto a lightly floured surface. Flour your hands and gently fold dough over on itself once or twice, then roll into a fat cylinder. Working quickly, without handling the dough too much, divide dough into four equal pieces and gently form each piece into a ball. Cover balls with a damp kitchen towel or plastic wrap and let rest 10 minutes. Roll out a dough ball on a lightly floured surface into a 5-6""-diameter round. Brush with a quarter of shortening mixture and sprinkle evenly with flour. Cut a slit halfway across the dough, from the center to the edge. Starting on one side of slit, fold cut edge of dough at about a "" interval. Continue folding process until you reach the other side of the slit and have formed a cone. Pinch together edges at wide end of cone to seal, then bring both point ends together at the top and gently push in toward center of cone to create a dimple (you don-t need to push in too far). Push point at narrow end of cone in toward the center. You should now have a ball with a dimple on each end. Transfer to a lightly floured surface and repeat with remaining balls of dough. Cover balls with a damp kitchen towel or plastic wrap and let rest 20 minutes. Heat a tawa or griddle over medium until a drop of water immediately sizzles on surface, about 2 minutes. Meanwhile, place a ball of dough on a dimpled side on a lightly floured surface. Gently flatten into a round with your hands, turning once if desired, then roll, rotating often, to a -""-thick round, about 10-12"". Brush tawa with a thin layer of oil. Cook roti until it begins to bubble slightly across the surface, about 20 seconds. Brush surface of roti with oil and continue to cook until bubbles across surface increase and roti is stiff enough on bottom side to turn, about 1 minute more. Turn roti over and brush surface with oil (bubbles may deflate; that-s okay). Using a spatula, move roti around to avoid hot spots and ensure even cooking, pressing on edges and uncooked spots to increase contact with pan. Continue to cook, turning every 30 seconds or so, until cooked through and both sides are speckled with golden brown spots, 1-2 minutes more. Using 2 spatulas, push opposite edges of roti toward the center. Smack down on the bunched roti with the ends of the spatulas to break up and flake, then turn roti over. Repeat process, scrunching and smacking roti from different directions, until flaky and lightly shredded. Transfer to a clean kitchen towel set inside a bowl or basket and wrap up to keep warm. Repeat with remaining dough balls and more oil, adding finished roti to bowl and covering tightly with towel as you go.",buss-up-shut-paratha-roti-ramin-ganeshram,4,30.0,30.0,"buttery, flaky, slightly sweet","soft, flaky, shredded",This roti is the perfect accompaniment to any curry – torn and buttery.,"Paratha, Roti, Chapati",ghee: butter; shortening: coconut oil,"Title: Buss Up Shut (Paratha Roti). Taste: buttery, flaky, slightly sweet. Texture: soft, flaky, shredded. Memory: This roti is the perfect accompaniment to any curry – torn and buttery.. Similar dishes: Paratha, Roti, Chapati"
Best Deviled Eggs,6 large eggs; 1/4 cup mayonnaise; 1 teaspoon Dijon mustard; 1/8 teaspoon cayenne; Garnishes: paprika and chopped fresh chives; Pastry bag fitted with 1/2-inch star tip (optional),"Cover eggs with cold water by 1 1/2 inches in a 3-quart heavy saucepan and bring to a rolling boil, partially covered. Reduce heat to low and cook eggs, covered completely, 30 seconds. Remove from heat and let stand, covered, 15 minutes. Transfer eggs with a slotted spoon to a bowl of ice and cold water to stop cooking and let stand 5 minutes. Peel eggs and halve lengthwise. Carefully remove yolks and mash in a bowl with a fork. Add mayonnaise, mustard, and cayenne and stir with fork until smooth, then season with salt and pepper. Fill pastry bag with yolk mixture and pipe into egg whites.",deviled-eggs-106562,4,20.0,20.0,"creamy, tangy, slightly spicy","smooth filling, firm whites",These deviled eggs are always the first to disappear at family gatherings.,"Classic Deviled Eggs, Spicy Deviled Eggs, Avocado Deviled Eggs",mayonnaise: Greek yogurt; mustard: wasabi,"Title: Best Deviled Eggs. Taste: creamy, tangy, slightly spicy. Texture: smooth filling, firm whites. Memory: These deviled eggs are always the first to disappear at family gatherings.. Similar dishes: Classic Deviled Eggs, Spicy Deviled Eggs, Avocado Deviled Eggs"
Mango Curry,"2 green, unripe mangoes, peeled and sliced (2 cups); 4 shallots, thinly sliced (about ½ cup); 4 Indian or Thai green chiles, halved lengthwise; 1 (1-inch) piece ginger, peeled and cut into thin matchsticks; 3 cloves garlic, cut into thin matchsticks; 3 Tbsp coconut vinegar or white vinegar; 1½ tsp salt; 3 cups coconut milk; 1 Tbsp coconut oil; 1½ tsp black mustard seeds; 4 dried red chiles, snapped in half; 20 curry leaves; Fried Onions for garnish (optional); Basmati Rice to serve","In a bowl, combine mangoes, shallots, green chiles, ginger, garlic, vinegar, and salt and mix well. Set aside for 2 hours. In a large saucepan, combine mango mixture and coconut milk and bring to a boil. Reduce heat and simmer for 5 minutes, or until mangoes are softened. Have a splash guard and measured spices nearby. Heat oil in a small frying pan over medium-high heat until nearly smoking. Immediately reduce heat to medium. (You can test the heat of the oil by dropping in a couple of seeds. The oil is at the correct temperature when the seeds crackle, but do not burn.) Add mustard seeds and temper for a few seconds, until they stop popping. (Cover with the splash guard, if needed.) Add red chiles and curry leaves and cook for 15-20 seconds. Add the tempered spice mixture to the saucepan and stir to combine. Garnish with fried onions (if using). Serve with rice. Tempering is a traditional method of extracting optimal flavor from Indian spices, and it is a skill learned with practice! Reducing the heat a little before adding the spices prevents the spices from burning and adding a bitterness to your dish. If they do burn, simply start again with fresh spices.",mango-curry-joe-thottungal,4,120.0,10.0,"sour, spicy, creamy","soft mango, creamy sauce","This curry is a burst of sunshine – tangy,spicy,and utterly unique.","Thai Green Curry, Kerala Curry, Fish Curry",green mango: lemon; coconut milk: cream,"Title: Mango Curry. Taste: sour, spicy, creamy. Texture: soft mango, creamy sauce. Memory: This curry is a burst of sunshine – tangy,spicy,and utterly unique.. Similar dishes: Thai Green Curry, Kerala Curry, Fish Curry"
Iced Caf de Olla,"¾ cup grated piloncillo or (packed) dark brown sugar; 1 (3"") canela or cinnamon stick; 5 cardamom pods, cracked; 5 allspice berries; 1 tsp. black peppercorns; Pinch of kosher salt; 3 wide strips orange zest; 5–8 cups cold-brew coffee; Unsweetened coconut milk or half-and-half (for serving)","Bring piloncillo, canela, cardamom, allspice, peppercorns, salt, and 1 cup water to a boil in a small saucepan. Reduce heat, cover, and simmer 15 minutes. Add orange zest; let cool. Strain spiced syrup through a fine-mesh sieve into a measuring glass; discard spices. (You should have about 1 cup.) To make 1 drink, pour 1 cup cold-brew coffee into an ice-filled glass. Stir in 2-3 Tbsp. spiced syrup; top with 2-3 Tbsp. coconut milk. Do Ahead: Syrup can be made 1 week ahead. Cover and chill.",iced-cafe-de-olla,4,15.0,15.0,"sweet, spiced, slightly bitter","smooth, icy",This iced coffee is a refreshing escape on a hot day.,"Iced Coffee, Spiced Coffee, Mexican Coffee",piloncillo: brown sugar; canela: cinnamon,"Title: Iced Caf de Olla. Taste: sweet, spiced, slightly bitter. Texture: smooth, icy. Memory: This iced coffee is a refreshing escape on a hot day.. Similar dishes: Iced Coffee, Spiced Coffee, Mexican Coffee"
Pumpkin Dutch Baby With Pumpkin Butter,"3 large eggs, room temperature; 1 (15-ounce) can pumpkin purée, divided; 1 cup milk, room temperature; 3 Tbsp. unsalted butter, room temperature, divided; 1 cup all-purpose flour; 1 ½ tsp. cinnamon, divided; ¼ tsp. allspice; ¼ tsp. ground ginger; ¼ tsp. nutmeg; Kosher salt; ½ cup apple cider or juice; 3 Tbsp. maple syrup; Powdered sugar, for serving","Place an 8-inch ovenproof skillet or cast-iron pan in the oven and preheat to 425°. Once the oven reaches temperature, blend 3 large eggs in a blender until well combined and frothy, 1 minute. Add ?¨ cup of the pumpkin pure, then 1 cup milk, and then 1 Tbsp. of the butter, blending for 30 seconds after each addition. Add 1 cup all-purpose flour, ?¨ tsp. allspice, ?¨ tsp. ground ginger, ?¨ tsp. nutmeg, ?´ tsp. salt, and 1 tsp. of the cinnamon in one addition. Blend again until combined and frothy, 1 minute (scraping down the sides of the blender if necessary). Pull the hot pan from the oven and add the remaining 2 Tbsp. butter, swirling the pan so it melts evenly across the bottom (it will bubble and brown). Once the butter is melted, immediately pour in the Dutch baby batter and return to the oven. Bake until golden brown and slightly puffed, 20 minutes. While the Dutch baby bakes, combine ?´ cup apple cider, 3 Tbsp. maple syrup, the remaining ?´ tsp. cinnamon, a pinch of salt, and the rest of the can of pumpkin pure (about 1 ?¨ cups) in a small saucepan. Cook over medium-high heat until the mixture starts to bubble, then reduce to medium and cook, stirring frequently and scraping down the sides of the pot with a spatula, until dark and thickened with no raw pumpkin flavor remaining, 20 to 25 minutes. Slice the Dutch baby (it will start to sink as soon as you take it out of the oven) and serve with the pumpkin butter and powdered sugar.",pumpkin-dutch-baby-recipe,4,15.0,35.0,"sweet, spiced, eggy","puffy, custardy",This Dutch baby is like a pumpkin cloud – perfect for fall brunches.,"German Pancake, Apple Dutch Baby, Yorkshire Pudding",pumpkin: sweet potato; apple cider: orange juice,"Title: Pumpkin Dutch Baby With Pumpkin Butter. Taste: sweet, spiced, eggy. Texture: puffy, custardy. Memory: This Dutch baby is like a pumpkin cloud – perfect for fall brunches.. Similar dishes: German Pancake, Apple Dutch Baby, Yorkshire Pudding"
Braised Chicken Legs With Grapes and Fennel,"4 chicken legs (thigh and drumstick; about 3½ lb.), patted dry; 4½ tsp. kosher salt, divided; 2 Tbsp. extra-virgin olive oil, divided; 2 medium fennel bulbs (about 1 lb.), plus ¼ cup coarsely chopped fronds; 1 lb. Red Flame or green table grapes, stems removed (about 2 cups); 1 cup unsalted chicken broth; ¼ cup honey; 4 tsp. Calabrian chile paste or chopped Calabrian chiles; 1 Tbsp. red wine vinegar","Place a rack in middle of oven; preheat to 375°F. Season chicken legs all over with 3 tsp. salt. Swirl 1 Tbsp. oil in a large Dutch oven or other heavy pot to coat and heat over medium-high. Place 2 chicken legs, skin side down, in pot, making sure skin is in direct contact with pan. Cook, undisturbed, until dark golden, about 5 minutes. Turn over and cook until golden on other side, about 2 minutes. Transfer to a large plate. Repeat with remaining 2 chicken legs; reserve pot. Meanwhile, working one at a time, stand a bulb, root end down, on a cutting board and slice off a short end to create a flat surface. Turn cut side down and slice ?´"" thick, starting from the top end of bulb so the root end can hold the layers in place while you slice. Discard last ?¨"" (root end) of each bulb and pop out and discard tougher center from slices. Transfer fennel to a large bowl and add half of the grapes, ?´ tsp. salt, and remaining 1 Tbsp. oil; toss to coat. Set aside. Reduce heat to medium and combine broth, honey, chile paste, and remaining 1 tsp. salt in reserved pot. Stir to combine and dissolve salt. Place remaining grapes in pot and arrange chicken legs, skin side up and overlapping if needed, over grapes. Top with dressed fennel and grapes. (Don-t worry if it looks crowded: Fennel will soften as it cooks.) Transfer pot, uncovered, to oven and roast until fennel is slightly softened, with some crispy, caramelized edges, grapes on top are swollen and browned in spots, and chicken is cooked through, 30-40 minutes. Let cool 5 minutes. Using a slotted spoon or tongs, transfer grapes and fennel to a bowl and chicken to a platter. Place pot over medium-high heat and bring braising liquid to a simmer. Cook until reduced by half (you should have about 1 cup liquid), 8-10 minutes. Remove from heat and stir in vinegar and fennel fronds. Spoon sauce over chicken and serve with fennel and grapes alongside.",braised-chicken-legs-with-grapes-and-fennel,4,20.0,50.0,"savory, sweet, slightly spicy","tender chicken, soft fennel, burst grapes",This dish is elegance in a pot – sweet grapes and savory fennel complement chicken perfectly.,"Coq au Vin, Chicken with Fruit, Braised Chicken",grapes: raisins; fennel: celery,"Title: Braised Chicken Legs With Grapes and Fennel. Taste: savory, sweet, slightly spicy. Texture: tender chicken, soft fennel, burst grapes. Memory: This dish is elegance in a pot – sweet grapes and savory fennel complement chicken perfectly.. Similar dishes: Coq au Vin, Chicken with Fruit, Braised Chicken"
Old-Fashioned Scalloped Potatoes,2 cups thinly sliced onion; 9 tablespoons unsalted butter; 6 tablespoons all-purpose flour; 3 1/2 cups milk; 2 1/2 pounds boiling potatoes; 1 1/2 cups coarsely grated sharp Cheddar (about 6 ounces); 1/3 cup dry bread crumbs,"Preheat oven to 400°. In a skillet, cook the onion and 2 tablespoons of the butter over moderately low heat, stirring, until it is very soft. In a heavy saucepan, melt 6 tablespoons of the remaining butter over moderately low heat, whisk in the flour, and cook the roux, whisking, for 3 minutes. Add the milk, scalded, in a stream, whisking, and bring the sauce to a boil. Simmer the sauce, whisking, for 1 minute and add salt and pepper to taste. Peel the potatoes and slice them --inch thick. Spread about one third of the sauce in the bottom of a well-buttered 3-quart gratin dish at least 2 ?´-inches deep, cover it with a layer of potato slices, overlapping the slices slightly, and cover the potatoes with one third of the onions. Sprinkle the onions with one third of the Cheddar and continue to layer the remaining sauce, potatoes, onions, and Cheddar in the same manner. Sprinkle the top with bread crumbs, and dot it with the remaining 1 tablespoon butter, cut into bits. Bake the mixture, covered with foil, in the middle of preheated oven for 20 minutes. Remove the foil and bake the potato mixture for 35 minutes more, or until the top is golden and the potatoes are tender.",old-fashioned-scalloped-potatoes-10270,4,20.0,55.0,"creamy, cheesy, savory","tender potatoes, creamy sauce","This is the ultimate comfort food – creamy,cheesy,and satisfying.","Potato Gratin, Dauphinoise, Cheesy Potatoes",potatoes: sweet potatoes; cheddar: Gruyère,"Title: Old-Fashioned Scalloped Potatoes. Taste: creamy, cheesy, savory. Texture: tender potatoes, creamy sauce. Memory: This is the ultimate comfort food – creamy,cheesy,and satisfying.. Similar dishes: Potato Gratin, Dauphinoise, Cheesy Potatoes"
Yogurt and Spice Roasted Salmon,"500g skinless salmon fillet, cut into 4cm cubes; 4 tablespoons Greek yogurt; 1 tablespoon garlic granules; 1 heaped tablespoon rose harissa; 1 teaspoon ground turmeric; 1 teaspoon paprika; Finely grated zest of 1 unwaxed lime and a good squeeze of juice; 1 teaspoon olive oil; Generous amount of Maldon sea salt flakes and freshly ground black pepper; Tortilla wraps; Sliced tomatoes; Finely sliced onion; Coriander leaves; Greek yogurt","Preheat your oven to its highest setting (with fan if it has one). Line a baking tray with baking paper. Mix all the marinade ingredients together in a mixing bowl. Add the salmon and turn until well coated in the marinade. Spread the salmon out on the prepared baking tray and roast for 10 minutes until cooked through. Remove from the oven and serve immediately with tortilla wraps, tomatoes, finely sliced onion, coriander leaves and Greek yogurt.",easy-yogurt-and-spice-roasted-salmon-sabrina-ghayour,4,10.0,10.0,"spicy, tangy, aromatic","flaky, tender","This salmon is weeknight magic – quick,flavorful,and healthy.","Spiced Salmon, Harissa Salmon, Salmon Tacos",salmon: trout; harissa: sriracha,"Title: Yogurt and Spice Roasted Salmon. Taste: spicy, tangy, aromatic. Texture: flaky, tender. Memory: This salmon is weeknight magic – quick,flavorful,and healthy.. Similar dishes: Spiced Salmon, Harissa Salmon, Salmon Tacos"
Pita,"1½ cups warm water; 1 teaspoon instant yeast; 4½ cups (540 grams) bread flour, divided, plus more as needed; 2 tablespoons canola oil, plus more for your bowl; 3½ teaspoons Morton kosher salt","Combine the water and yeast in a large mixing bowl (if you have a stand mixer, use that bowl) and let sit for 5 minutes. Reserve ?´ cup (60 grams) bread flour and add the remaining 4 cups to the mixing bowl along with the canola oil. If you have a stand mixer, fit it with the dough hook and knead the mixture on low speed for about 3 minutes, until a sticky but cohesive dough starts to form. Pause occasionally to scrape down the bowl if the flour is clinging to the sides and bottom or climbing up the hook. If you-re making the dough without a stand mixer, mix it with a wooden spoon. In either case, loosely cover the bowl with plastic wrap or a dish towel and let rest for 30 minutes. With your stand mixer on low or while stirring by hand in the mixing bowl, add the salt and, over the course of 2 or 3 minutes, add the remaining ?´ cup flour, 2 tablespoons at a time. The dough should be more tense; it will feel soft but tacky, although it will pull from the sides of the bowl. Flour your hands generously and use them to pull the dough onto a clean, unfloured work surface. Cup your hands around the dough, rolling it in short, circular strokes and using the sides of your hands to nudge it into a relatively smooth ball. Lightly wipe the inside of a large bowl with canola oil and place the dough inside, flipping it once or twice to coat. Loosely cover the bowl and let the dough rise at a warm room temperature for 1 hour. After 1 hour, the dough will be stretchy but very soft. Leaving it inside the bowl, stretch opposite sides of the dough over the center. Rotate the bowl a quarter- turn and stretch the dough in the same way, then flip the whole mound of dough upside down and cover again. Let rise for 1 hour. Repeat this series of folds one more time, allow it to rise at room temperature for 1 hour, then tightly cover the bowl and refrigerate overnight or up to 2 days. The longer the dough is refrigerated, the more flavor it will have. After this rise, it-s ready to be shaped; bear in mind that, once it-s shaped, it will need more time for a final rise, so plan ahead. Wipe a bit of canola oil on a large baking sheet. Dump the dough onto a clean, dry counter, and use a bench scraper or sharp knife to cut it into eight equal pieces; make clean, decisive cuts rather than use a sawing motion, so you don-t deflate all the air inside. Lightly flour your hands and place one palm directly over the dough ball, with all your fingertips touching the counter to make a sort of -cageÉ?ù around the dough. Roll it in brisk, small circles on the countertop so it tightens itself into a smoother, more taut ball. Space the rounds of dough a few inches apart, seam side down, on the sheet, and roll to coat them lightly in oil. Tightly cover the sheet with plastic wrap so the dough doesn-t dry out, and let them rise at room temperature for 2 to 4 more hours, until they-re pillowy. Meanwhile, set a baking stone on the center rack of your oven and turn on the broiler. You-re emulating a 700°F wood- burning oven, so you need to give the stone a good long while to preheat before you bake. When the dough is ready, lightly flour a work surface, and use a bench scraper or thin metal spatula to coax one piece into your palm; be sure you don-t manhandle it or you-ll force out the pockets of air that formed while it rose. Dust a little more flour on the top of the dough and onto your rolling pin. With firm, even pressure, briskly roll the dough a few times along its length. Flip it upside down, rotate it a quarter- turn, and roll it the same way, keeping it as round as possible. Repeat, dusting a little extra flour as needed, until it-s about 6 inches across. This next part happens fast and furiously, so make sure you have no distractions-screaming children and natural disasters will have to wait. Use tongs or a good oven mitt to pull the oven rack with the baking stone partially out. Carefully pick up the pita, drape it over your palm, and slap it down onto the stone as if you-re giving it a high- five (just be careful not to touch the hot stone!). Set a timer for 1 minute, and close the oven. Broilers vary in strength but all are quite hot, so don-t turn your back on the oven or the pita may burn. Check on it- it should puff up and build in color, with some beautiful blistered spots. If it-s still pale, close the oven and let it keep baking for 30- second intervals. Use tongs to flip the pita, and let it finish baking with the oven door cracked so you can watch it finish. Pull it out when the second side is as pretty as the first; this can take anywhere from 30 seconds to 2 minutes, depending on your broiler. Bake off the rest of the dough this way; as you get the hang of it, feel free to bake two pitas at a time. Serve these hot or at room temperature.",fresh-homemade-pita-alon-shaya,4,30.0,10.0,"mild, wheaty, slightly charred","soft, chewy, pocketed",Fresh pita straight from the oven is a transformative experience.,"Naan, Lavash, Flatbread",bread flour: all‑purpose; canola oil: olive oil,"Title: Pita. Taste: mild, wheaty, slightly charred. Texture: soft, chewy, pocketed. Memory: Fresh pita straight from the oven is a transformative experience.. Similar dishes: Naan, Lavash, Flatbread"
